Unranked in ESPN, DCarr
Unranked in ESPN, MBryant
Unranked in ESPN, DSproles
Unranked in ESPN, LBlount
Unranked in ESPN, TWilliams
Unranked in ESPN, TGinn
Unranked in ESPN, FGore
Unranked in ESPN, TJYeldon
Unranked in ESPN, DWestbrook
Unranked in ESPN, RKelley
Unranked in ESPN, NChubb

// OUT ON AN ISLAND (> 50 spots) //
88,AMorris
87,MBreida
66,RJones
65,CJAnderson
65,DBrees
60,DBooker
54,DMartin

// LIKELY TO APPEAR YOUR FANTASY ROSTER (20 - 50 spots) //
44,TRiddick
39,AJones
29,CClement
29,TCohen
28,TMontgomery
28,RWilson
27,JNelson
26,LMurray
25,JAllen
23,CKupp
22,CHyde

// 1-2 ROUNDS HIGHER ON (10 - 20 spots)//
20,CRidley
19,JSmith-Schuster
18,NAgholor
16,GBernard
15,MWilliams
15,CNewton
15,MCrabtree
14,ARodgers
13,DJMoore
13,ICrowell
13,DJohnsonJr
12,THill
11,GKittle
11,SMichel
11,JEdelman

// 1 ROUND HIGHER ON (5 - 10 spots)//
10,TBrady
10,BCooks
8,TEifert
7,JMixon
6,MMack
6,DAdams

// A FEW SPOTS HIGHER ON (1 - 5) //
5,DLewis
5,DHenry
5,DBaldwin
5,MThomas
4,MMariota
4,KGolladay
4,RPenny
4,PGarcon
4,SWatkins
4,RBurkhead
3,SShepard
3,JLandry
2,JAjayi
2,SDiggs
2,AThielen
2,CMcCaffrey
2,AJGreen
2,MGordon
1,KJohnson
1,JGordon
1,ACooper
1,LFitzgerald
1,MEvans
1,KAllen
1,OBeckham

// AGREE //
0,CCarson
0,CDavis
0,KDrake
0,JHoward
0,JJones
0,AKamara
0,SBarkley
0,ABrown
0,EElliot
0,DJohnson
0,TGurley
0,LBell

// A FEW SPOTS LOWER ON (1 - 5) //
-1,AHurns
-1,DThomas
-1,TYHilton
-1,DHopkins
-2,PRivers
-2,BPowell
-2,DFunchess
-2,MIngram
-3,RGronkowski
-4,TColeman
-4,ARobinson
-4,DFreeman

// 1 ROUND LOWER ON (5 - 10 spots) //
-5,JWilkins
-5,MStafford
-5,APeterson
-5,PBarber
-5,JCrowder
-5,GOlsen
-5,ESanders
-5,DCook
-6,DPrescott
-7,MRyan
-7,JWhite
-7,TKelce
-8,RMatthews
-8,ACollins
-8,LFournette
-8,KHunt
-9,JHill
-9,JGaroppolo
-9,DAmendola
-9,KCole
-9,KBenjamin
-9,JWilliams
-9,GTate

// 1-2 ROUNDS LOWER ON (10 - 20 spots) //
-10,MGallup
-11,DMoncrief
-11,CMeredith
-11,AJeffery
-12,EEngram
-12,MJones
-14,DParker
-14,LMiller
-15,KRudolph
-16,KCousins
-16,RCobb
-16,CHogan
-17,DNjoku
-17,KStills
-18,BRoethlisberger
-18,ZErtz
-19,JDoctson
-19,LMcCoy

// PROBABLY NOT DRAFTING (> 20 spots) //
-21,MLynch
-22,ASmith
-22,CThompson
-24,JGraham
-25,RWoods
-26,JReed
-26,WFuller
-30,RAnderson
-31,TBurton
-31,MGoodwin
-32,DJackson
-39,CGodwin
-41,ALuck
-44,JRoss
-44,RFreeman
-45,DWalker
-47,JDoyle
-51,CWentz
-54,TLockett
-58,PRichardson
